timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/11 18:23:44.909, 1433 MiB, 30674 MiB, 1 %, 1 %, 38, 547 MHz, 3090 MHz, 37.14 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:14.924, 1433 MiB, 30674 MiB, 1 %, 1 %, 40, 547 MHz, 3090 MHz, 37.71 W, P8, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:24:44.936, 27580 MiB, 4527 MiB, 99 %, 33 %, 61, 2842 MHz, 3090 MHz, 451.27 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:25:14.948, 27580 MiB, 4527 MiB, 99 %, 32 %, 68, 2842 MHz, 3090 MHz, 536.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:25:44.959, 27580 MiB, 4527 MiB, 99 %, 32 %, 75, 2827 MHz, 3090 MHz, 544.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:14.970, 27580 MiB, 4527 MiB, 96 %, 30 %, 78, 2827 MHz, 3090 MHz, 548.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:26:44.982, 27580 MiB, 4527 MiB, 86 %, 27 %, 79, 2827 MHz, 3090 MHz, 550.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:14.993, 27580 MiB, 4527 MiB, 99 %, 33 %, 80, 2812 MHz, 3090 MHz, 554.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:27:45.005, 27580 MiB, 4527 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 552.62 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:28:15.016, 27580 MiB, 4527 MiB, 99 %, 31 %, 79, 2820 MHz, 3090 MHz, 554.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:28:45.029, 27580 MiB, 4527 MiB, 98 %, 29 %, 81, 2820 MHz, 3090 MHz, 554.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:15.040, 27580 MiB, 4527 MiB, 97 %, 24 %, 79, 2820 MHz, 3090 MHz, 555.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:29:45.051, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 549.60 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:30:15.063, 27579 MiB, 4528 MiB, 87 %, 26 %, 81, 2820 MHz, 3090 MHz, 551.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:30:45.074, 27579 MiB, 4528 MiB, 99 %, 32 %, 78, 2820 MHz, 3090 MHz, 550.37 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:31:15.086, 27579 MiB, 4528 MiB, 94 %, 31 %, 81, 2827 MHz, 3090 MHz, 552.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:31:45.098, 27579 MiB, 4528 MiB, 96 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:32:15.110, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 499.01 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:32:45.120, 27579 MiB, 4528 MiB, 80 %, 30 %, 79, 2820 MHz, 3090 MHz, 550.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:15.133, 27579 MiB, 4528 MiB, 99 %, 32 %, 80, 2820 MHz, 3090 MHz, 551.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:33:45.144, 27580 MiB, 4527 MiB, 97 %, 22 %, 81, 2820 MHz, 3090 MHz, 553.90 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:15.155, 27580 MiB, 4527 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 550.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:34:45.166, 27580 MiB, 4527 MiB, 99 %, 33 %, 82, 2820 MHz, 3090 MHz, 550.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:15.178, 27580 MiB, 4527 MiB, 83 %, 38 %, 81, 2820 MHz, 3090 MHz, 551.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:35:45.190, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2812 MHz, 3090 MHz, 551.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:36:15.201, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 551.26 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:36:45.212, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2820 MHz, 3090 MHz, 550.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:37:15.225, 27580 MiB, 4527 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 551.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:37:45.236, 27580 MiB, 4527 MiB, 98 %, 29 %, 82, 2812 MHz, 3090 MHz, 552.34 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:38:15.247, 27580 MiB, 4527 MiB, 99 %, 31 %, 78, 2812 MHz, 3090 MHz, 549.75 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:38:45.260, 27580 MiB, 4527 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 551.69 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:39:15.271, 27580 MiB, 4527 MiB, 98 %, 30 %, 82, 2812 MHz, 3090 MHz, 552.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:39:45.282, 27580 MiB, 4527 MiB, 99 %, 32 %, 80, 2805 MHz, 3090 MHz, 547.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:40:15.294, 27579 MiB, 4528 MiB, 91 %, 32 %, 82, 2820 MHz, 3090 MHz, 553.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:40:45.304, 27579 MiB, 4528 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 552.55 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:41:15.315, 27579 MiB, 4528 MiB, 99 %, 31 %, 83, 2820 MHz, 3090 MHz, 551.92 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:41:45.328, 27579 MiB, 4528 MiB, 97 %, 27 %, 83, 2812 MHz, 3090 MHz, 552.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:42:15.340, 27579 MiB, 4528 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 553.55 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:42:45.351, 27579 MiB, 4528 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 555.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:43:15.364, 27579 MiB, 4528 MiB, 88 %, 26 %, 82, 2812 MHz, 3090 MHz, 552.80 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:43:45.375, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 552.47 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:44:15.386, 27579 MiB, 4528 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 537.86 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:44:45.398, 27579 MiB, 4528 MiB, 2 %, 0 %, 82, 2820 MHz, 3090 MHz, 491.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:45:15.410, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 548.31 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:45:45.421, 27579 MiB, 4528 MiB, 98 %, 28 %, 83, 2820 MHz, 3090 MHz, 553.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:46:15.434, 27579 MiB, 4528 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 552.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:46:45.445, 27579 MiB, 4528 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 553.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:47:15.457, 27579 MiB, 4528 MiB, 97 %, 23 %, 78, 2820 MHz, 3090 MHz, 532.35 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 18:47:45.468, 27579 MiB, 4528 MiB, 65 %, 21 %, 82, 2812 MHz, 3090 MHz, 503.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:48:15.479, 27579 MiB, 4528 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 553.86 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:48:45.491, 27579 MiB, 4528 MiB, 97 %, 27 %, 81, 2812 MHz, 3090 MHz, 554.22 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:49:15.501, 27579 MiB, 4528 MiB, 96 %, 30 %, 82, 2820 MHz, 3090 MHz, 555.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:49:45.515, 27579 MiB, 4528 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 553.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:50:15.525, 27577 MiB, 4530 MiB, 90 %, 38 %, 82, 2805 MHz, 3090 MHz, 550.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:50:45.536, 27577 MiB, 4530 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 555.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:51:15.548, 27577 MiB, 4530 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 554.07 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:51:45.560, 27577 MiB, 4530 MiB, 97 %, 21 %, 80, 2812 MHz, 3090 MHz, 550.52 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:52:15.572, 27577 MiB, 4530 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 556.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:52:45.584, 27577 MiB, 4530 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 553.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:53:15.596, 27577 MiB, 4530 MiB, 83 %, 28 %, 82, 2805 MHz, 3090 MHz, 553.14 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:53:45.607, 27577 MiB, 4530 MiB, 96 %, 31 %, 83, 2842 MHz, 3090 MHz, 484.00 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:54:15.619, 27577 MiB, 4530 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 554.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:54:45.630, 27577 MiB, 4530 MiB, 91 %, 35 %, 79, 2812 MHz, 3090 MHz, 548.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:55:15.642, 27577 MiB, 4530 MiB, 99 %, 31 %, 84, 2812 MHz, 3090 MHz, 556.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:55:45.653, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 552.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:56:15.667, 27577 MiB, 4530 MiB, 88 %, 39 %, 80, 2812 MHz, 3090 MHz, 551.32 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:56:45.678, 27577 MiB, 4530 MiB, 16 %, 5 %, 82, 2850 MHz, 3090 MHz, 481.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:57:15.690, 27577 MiB, 4530 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 552.94 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:57:45.702, 27577 MiB, 4530 MiB, 90 %, 37 %, 81, 2805 MHz, 3090 MHz, 553.83 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:58:15.714, 27577 MiB, 4530 MiB, 99 %, 31 %, 82, 2820 MHz, 3090 MHz, 556.66 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:58:45.730, 27577 MiB, 4530 MiB, 97 %, 24 %, 80, 2820 MHz, 3090 MHz, 549.83 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:59:15.742, 27577 MiB, 4530 MiB, 96 %, 30 %, 83, 2812 MHz, 3090 MHz, 554.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 18:59:45.753, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 553.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:00:15.766, 27577 MiB, 4530 MiB, 98 %, 29 %, 83, 2812 MHz, 3090 MHz, 553.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:00:45.779, 27577 MiB, 4530 MiB, 93 %, 29 %, 83, 2805 MHz, 3090 MHz, 556.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:01:15.791, 27577 MiB, 4530 MiB, 99 %, 32 %, 84, 2820 MHz, 3090 MHz, 554.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:01:45.802, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 554.92 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:02:15.813, 27577 MiB, 4530 MiB, 81 %, 34 %, 82, 2812 MHz, 3090 MHz, 551.02 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:02:45.826, 27577 MiB, 4530 MiB, 99 %, 32 %, 85, 2812 MHz, 3090 MHz, 557.26 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:03:15.838, 27577 MiB, 4530 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 555.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:03:45.851, 27577 MiB, 4530 MiB, 87 %, 27 %, 81, 2805 MHz, 3090 MHz, 554.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:04:15.862, 27577 MiB, 4530 MiB, 96 %, 30 %, 83, 2850 MHz, 3090 MHz, 488.82 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:04:45.875, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 555.07 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:05:15.888, 27577 MiB, 4530 MiB, 91 %, 33 %, 82, 2812 MHz, 3090 MHz, 555.95 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 19:05:45.899, 27577 MiB, 4530 MiB, 96 %, 30 %, 84, 2805 MHz, 3090 MHz, 556.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:06:15.910, 27577 MiB, 4530 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 555.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:06:45.921, 27577 MiB, 4530 MiB, 97 %, 24 %, 82, 2812 MHz, 3090 MHz, 556.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:07:15.933, 27577 MiB, 4530 MiB, 54 %, 17 %, 79, 2820 MHz, 3090 MHz, 502.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:07:45.945, 27577 MiB, 4530 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 554.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:08:15.957, 27577 MiB, 4530 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 554.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:08:45.968, 27577 MiB, 4530 MiB, 99 %, 31 %, 84, 2805 MHz, 3090 MHz, 554.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:09:15.980, 27577 MiB, 4530 MiB, 99 %, 32 %, 84, 2812 MHz, 3090 MHz, 555.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:09:45.992, 27577 MiB, 4530 MiB, 98 %, 29 %, 84, 2812 MHz, 3090 MHz, 556.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:10:16.004, 27577 MiB, 4530 MiB, 82 %, 36 %, 82, 2812 MHz, 3090 MHz, 503.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:10:46.015, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2820 MHz, 3090 MHz, 554.58 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:11:16.027, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 554.96 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:11:46.038, 27577 MiB, 4530 MiB, 86 %, 27 %, 83, 2812 MHz, 3090 MHz, 554.69 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:12:16.050, 27577 MiB, 4530 MiB, 99 %, 31 %, 84, 2812 MHz, 3090 MHz, 554.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:12:46.061, 27578 MiB, 4528 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 557.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:13:16.072, 27578 MiB, 4528 MiB, 82 %, 37 %, 83, 2812 MHz, 3090 MHz, 555.27 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:13:46.084, 27578 MiB, 4528 MiB, 96 %, 30 %, 83, 2812 MHz, 3090 MHz, 556.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:14:16.096, 27578 MiB, 4528 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 554.85 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:14:46.108, 27578 MiB, 4528 MiB, 98 %, 24 %, 83, 2820 MHz, 3090 MHz, 554.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:15:16.121, 27578 MiB, 4528 MiB, 96 %, 30 %, 83, 2812 MHz, 3090 MHz, 554.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:15:46.133, 27578 MiB, 4528 MiB, 99 %, 32 %, 84, 2805 MHz, 3090 MHz, 551.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:16:16.145, 27578 MiB, 4528 MiB, 91 %, 33 %, 83, 2812 MHz, 3090 MHz, 554.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:16:46.159, 27578 MiB, 4528 MiB, 89 %, 26 %, 83, 2812 MHz, 3090 MHz, 554.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:17:16.171, 27578 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 555.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:17:46.185, 27578 MiB, 4528 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 554.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:18:16.196, 27578 MiB, 4528 MiB, 98 %, 30 %, 83, 2812 MHz, 3090 MHz, 554.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:18:46.207, 27578 MiB, 4528 MiB, 99 %, 33 %, 81, 2812 MHz, 3090 MHz, 551.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:19:16.219, 27578 MiB, 4528 MiB, 98 %, 25 %, 84, 2812 MHz, 3090 MHz, 553.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:19:46.232, 27578 MiB, 4528 MiB, 96 %, 30 %, 83, 2812 MHz, 3090 MHz, 553.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:20:16.244, 27579 MiB, 4528 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 552.16 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:20:46.255, 27579 MiB, 4528 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 555.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:21:16.267, 27579 MiB, 4528 MiB, 98 %, 30 %, 83, 2812 MHz, 3090 MHz, 553.93 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:21:46.278, 27583 MiB, 4524 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 553.73 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:22:16.290, 27576 MiB, 4531 MiB, 88 %, 39 %, 83, 2812 MHz, 3090 MHz, 563.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:22:46.301, 27576 MiB, 4531 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 518.02 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:23:16.313, 27576 MiB, 4531 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 567.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:23:46.325, 27577 MiB, 4530 MiB, 99 %, 32 %, 84, 2805 MHz, 3090 MHz, 558.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:24:16.337, 27576 MiB, 4531 MiB, 99 %, 33 %, 82, 2812 MHz, 3090 MHz, 557.44 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 19:24:46.350, 27577 MiB, 4530 MiB, 87 %, 26 %, 81, 2827 MHz, 3090 MHz, 502.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:25:16.360, 27577 MiB, 4530 MiB, 96 %, 30 %, 82, 2812 MHz, 3090 MHz, 492.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:25:46.372, 27577 MiB, 4530 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 555.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:26:16.383, 27577 MiB, 4530 MiB, 88 %, 39 %, 81, 2812 MHz, 3090 MHz, 553.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:26:46.395, 27577 MiB, 4530 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 554.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:27:16.408, 27577 MiB, 4530 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 554.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:27:46.420, 27577 MiB, 4530 MiB, 91 %, 36 %, 75, 2842 MHz, 3090 MHz, 501.11 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 19:28:16.432, 27577 MiB, 4530 MiB, 96 %, 31 %, 83, 2820 MHz, 3090 MHz, 505.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:28:46.442, 27577 MiB, 4530 MiB, 99 %, 32 %, 80, 2805 MHz, 3090 MHz, 553.02 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:29:16.453, 27577 MiB, 4530 MiB, 91 %, 35 %, 83, 2812 MHz, 3090 MHz, 554.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:29:46.465, 27577 MiB, 4530 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 553.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:30:16.476, 27576 MiB, 4531 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 553.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:30:46.489, 27576 MiB, 4531 MiB, 86 %, 27 %, 83, 2812 MHz, 3090 MHz, 553.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:31:16.502, 27576 MiB, 4531 MiB, 96 %, 30 %, 81, 2812 MHz, 3090 MHz, 553.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:31:46.514, 27576 MiB, 4531 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 555.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:32:16.525, 27576 MiB, 4531 MiB, 91 %, 33 %, 81, 2812 MHz, 3090 MHz, 554.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:32:46.541, 27576 MiB, 4531 MiB, 98 %, 27 %, 81, 2827 MHz, 3090 MHz, 548.43 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:33:16.552, 27578 MiB, 4529 MiB, 96 %, 30 %, 82, 2820 MHz, 3090 MHz, 551.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:33:46.564, 27576 MiB, 4531 MiB, 99 %, 32 %, 83, 2820 MHz, 3090 MHz, 552.95 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:34:16.575, 27576 MiB, 4531 MiB, 97 %, 21 %, 82, 2812 MHz, 3090 MHz, 553.18 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:34:46.589, 27576 MiB, 4531 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 553.31 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:35:16.601, 27576 MiB, 4531 MiB, 99 %, 33 %, 81, 2805 MHz, 3090 MHz, 494.56 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/11 19:35:46.613, 27576 MiB, 4531 MiB, 98 %, 26 %, 81, 2812 MHz, 3090 MHz, 554.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:36:16.625, 27576 MiB, 4531 MiB, 99 %, 32 %, 82, 2812 MHz, 3090 MHz, 554.64 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:36:46.636, 27576 MiB, 4531 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 564.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:37:16.648, 27576 MiB, 4531 MiB, 99 %, 33 %, 84, 2805 MHz, 3090 MHz, 567.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:37:46.661, 27576 MiB, 4531 MiB, 98 %, 29 %, 82, 2812 MHz, 3090 MHz, 564.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:38:16.674, 27576 MiB, 4531 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 565.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:38:46.685, 27576 MiB, 4531 MiB, 81 %, 35 %, 84, 2805 MHz, 3090 MHz, 562.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:39:16.696, 27576 MiB, 4531 MiB, 99 %, 32 %, 83, 2805 MHz, 3090 MHz, 567.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:39:46.708, 27576 MiB, 4531 MiB, 98 %, 26 %, 82, 2812 MHz, 3090 MHz, 563.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:40:16.720, 27575 MiB, 4532 MiB, 99 %, 32 %, 84, 2812 MHz, 3090 MHz, 564.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:40:46.731, 27575 MiB, 4532 MiB, 99 %, 32 %, 83, 2820 MHz, 3090 MHz, 514.11 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:41:16.743, 27575 MiB, 4532 MiB, 99 %, 31 %, 82, 2805 MHz, 3090 MHz, 565.06 W, P1, 0x0000000000000004, Not Active, Active
2026/08/11 19:41:46.754, 27575 MiB, 4532 MiB, 99 %, 32 %, 84, 2805 MHz, 3090 MHz, 564.52 W, P1, 0x0000000000000004, Not Active, Active
