timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, clocks.current.sm [MHz], clocks.max.sm [MHz], power.draw [W], pstate, clocks_event_reasons.active, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_power_cap
2026/08/12 17:32:21.458, 1742 MiB, 30365 MiB, 9 %, 1 %, 45, 2355 MHz, 3090 MHz, 77.89 W, P5, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:32:51.467, 1742 MiB, 30365 MiB, 8 %, 1 %, 44, 2385 MHz, 3090 MHz, 78.88 W, P5, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:33:21.477, 30125 MiB, 1982 MiB, 97 %, 22 %, 61, 2850 MHz, 3090 MHz, 500.23 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:33:51.489, 30125 MiB, 1982 MiB, 99 %, 31 %, 70, 2842 MHz, 3090 MHz, 510.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:34:21.503, 30125 MiB, 1982 MiB, 98 %, 27 %, 75, 2827 MHz, 3090 MHz, 514.70 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:34:51.514, 30125 MiB, 1982 MiB, 99 %, 29 %, 76, 2827 MHz, 3090 MHz, 519.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:35:21.526, 29980 MiB, 2127 MiB, 1 %, 0 %, 72, 2835 MHz, 3090 MHz, 507.64 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:35:51.537, 30126 MiB, 1981 MiB, 99 %, 31 %, 80, 2827 MHz, 3090 MHz, 520.47 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:36:21.548, 30126 MiB, 1981 MiB, 99 %, 31 %, 80, 2827 MHz, 3090 MHz, 519.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:36:51.560, 30126 MiB, 1981 MiB, 99 %, 29 %, 78, 2827 MHz, 3090 MHz, 521.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:37:21.572, 30126 MiB, 1981 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 527.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:37:51.585, 30126 MiB, 1981 MiB, 93 %, 27 %, 78, 2820 MHz, 3090 MHz, 529.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:38:21.597, 30126 MiB, 1981 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 530.13 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:38:51.610, 30126 MiB, 1981 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 463.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:39:21.621, 30126 MiB, 1981 MiB, 88 %, 22 %, 79, 2812 MHz, 3090 MHz, 524.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:39:51.632, 30126 MiB, 1981 MiB, 99 %, 31 %, 81, 2827 MHz, 3090 MHz, 532.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:40:21.643, 30126 MiB, 1981 MiB, 99 %, 32 %, 77, 2820 MHz, 3090 MHz, 530.05 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:40:51.656, 30126 MiB, 1980 MiB, 96 %, 28 %, 81, 2827 MHz, 3090 MHz, 530.69 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:41:21.668, 30126 MiB, 1981 MiB, 91 %, 29 %, 80, 2820 MHz, 3090 MHz, 530.09 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:41:51.680, 30126 MiB, 1981 MiB, 99 %, 30 %, 80, 2812 MHz, 3090 MHz, 524.28 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:42:21.692, 29981 MiB, 2126 MiB, 91 %, 31 %, 82, 2812 MHz, 3090 MHz, 565.48 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:42:51.703, 30003 MiB, 2104 MiB, 99 %, 30 %, 83, 2812 MHz, 3090 MHz, 569.55 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:43:21.714, 30003 MiB, 2104 MiB, 94 %, 28 %, 81, 2812 MHz, 3090 MHz, 562.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:43:51.727, 30003 MiB, 2104 MiB, 79 %, 27 %, 81, 2857 MHz, 3090 MHz, 485.89 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:44:21.738, 30127 MiB, 1980 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 524.01 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:44:51.749, 30127 MiB, 1980 MiB, 97 %, 27 %, 79, 2827 MHz, 3090 MHz, 521.91 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:45:21.761, 30127 MiB, 1980 MiB, 92 %, 26 %, 81, 2820 MHz, 3090 MHz, 521.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:45:51.773, 30127 MiB, 1980 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 528.70 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:46:21.785, 30126 MiB, 1981 MiB, 98 %, 29 %, 80, 2820 MHz, 3090 MHz, 529.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:46:51.797, 30126 MiB, 1981 MiB, 99 %, 32 %, 81, 2820 MHz, 3090 MHz, 523.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:47:21.809, 30126 MiB, 1981 MiB, 5 %, 0 %, 78, 2827 MHz, 3090 MHz, 476.94 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:47:51.822, 30126 MiB, 1981 MiB, 92 %, 29 %, 79, 2820 MHz, 3090 MHz, 532.39 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:48:21.834, 30126 MiB, 1981 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 530.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:48:51.845, 30126 MiB, 1981 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 531.59 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:49:21.858, 30126 MiB, 1981 MiB, 99 %, 30 %, 78, 2827 MHz, 3090 MHz, 528.54 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:49:51.869, 30126 MiB, 1981 MiB, 98 %, 29 %, 81, 2820 MHz, 3090 MHz, 526.39 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:50:21.881, 30126 MiB, 1981 MiB, 98 %, 22 %, 81, 2812 MHz, 3090 MHz, 532.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:50:51.893, 29980 MiB, 2127 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 556.13 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:51:21.903, 29980 MiB, 2127 MiB, 99 %, 31 %, 81, 2812 MHz, 3090 MHz, 562.24 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:51:51.916, 29980 MiB, 2127 MiB, 96 %, 29 %, 83, 2805 MHz, 3090 MHz, 566.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:52:21.927, 29977 MiB, 2129 MiB, 98 %, 26 %, 84, 2812 MHz, 3090 MHz, 565.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:52:51.938, 29977 MiB, 2129 MiB, 99 %, 32 %, 84, 2812 MHz, 3090 MHz, 571.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:53:21.949, 29977 MiB, 2129 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 559.66 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:53:51.960, 29977 MiB, 2129 MiB, 96 %, 29 %, 84, 2805 MHz, 3090 MHz, 566.69 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:54:21.972, 29977 MiB, 2129 MiB, 99 %, 31 %, 84, 2812 MHz, 3090 MHz, 569.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:54:51.983, 29977 MiB, 2129 MiB, 99 %, 31 %, 84, 2805 MHz, 3090 MHz, 569.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:55:21.995, 29977 MiB, 2129 MiB, 96 %, 29 %, 84, 2805 MHz, 3090 MHz, 567.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:55:52.006, 29977 MiB, 2129 MiB, 92 %, 27 %, 83, 2805 MHz, 3090 MHz, 567.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:56:22.018, 29977 MiB, 2129 MiB, 97 %, 22 %, 83, 2812 MHz, 3090 MHz, 569.29 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:56:52.030, 29977 MiB, 2129 MiB, 99 %, 31 %, 82, 2805 MHz, 3090 MHz, 571.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:57:22.041, 29977 MiB, 2129 MiB, 99 %, 30 %, 82, 2812 MHz, 3090 MHz, 560.78 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 17:57:52.052, 29977 MiB, 2129 MiB, 87 %, 26 %, 82, 2805 MHz, 3090 MHz, 564.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:58:22.063, 29977 MiB, 2129 MiB, 90 %, 34 %, 81, 2812 MHz, 3090 MHz, 563.33 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:58:52.074, 29977 MiB, 2129 MiB, 99 %, 32 %, 84, 2797 MHz, 3090 MHz, 567.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:59:22.087, 29977 MiB, 2129 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 561.16 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 17:59:52.100, 29977 MiB, 2129 MiB, 39 %, 12 %, 82, 2820 MHz, 3090 MHz, 510.25 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:00:22.112, 29977 MiB, 2129 MiB, 91 %, 30 %, 82, 2805 MHz, 3090 MHz, 565.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:00:52.125, 29977 MiB, 2129 MiB, 98 %, 27 %, 76, 2812 MHz, 3090 MHz, 521.90 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:01:22.137, 29977 MiB, 2129 MiB, 99 %, 32 %, 84, 2812 MHz, 3090 MHz, 567.61 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:01:52.148, 29977 MiB, 2129 MiB, 99 %, 31 %, 84, 2805 MHz, 3090 MHz, 564.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:02:22.159, 29976 MiB, 2131 MiB, 96 %, 29 %, 84, 2805 MHz, 3090 MHz, 565.98 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:02:52.170, 29976 MiB, 2131 MiB, 92 %, 27 %, 84, 2805 MHz, 3090 MHz, 566.19 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:03:22.183, 29976 MiB, 2131 MiB, 99 %, 31 %, 84, 2820 MHz, 3090 MHz, 569.04 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:03:52.195, 29977 MiB, 2129 MiB, 99 %, 32 %, 81, 2812 MHz, 3090 MHz, 569.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:04:22.207, 29977 MiB, 2129 MiB, 99 %, 31 %, 84, 2812 MHz, 3090 MHz, 551.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:04:52.220, 29977 MiB, 2129 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 565.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:05:22.232, 29977 MiB, 2129 MiB, 95 %, 29 %, 83, 2812 MHz, 3090 MHz, 566.92 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:05:52.243, 29977 MiB, 2129 MiB, 98 %, 30 %, 82, 2812 MHz, 3090 MHz, 561.35 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:06:22.257, 29977 MiB, 2129 MiB, 99 %, 30 %, 81, 2827 MHz, 3090 MHz, 563.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:06:52.270, 29983 MiB, 2124 MiB, 90 %, 30 %, 83, 2820 MHz, 3090 MHz, 557.23 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:07:22.281, 29980 MiB, 2127 MiB, 99 %, 32 %, 82, 2805 MHz, 3090 MHz, 564.55 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:07:52.292, 29980 MiB, 2127 MiB, 99 %, 31 %, 83, 2820 MHz, 3090 MHz, 566.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:08:22.303, 30002 MiB, 2105 MiB, 98 %, 29 %, 84, 2812 MHz, 3090 MHz, 562.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:08:52.315, 30126 MiB, 1981 MiB, 99 %, 29 %, 82, 2820 MHz, 3090 MHz, 522.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:09:22.326, 30126 MiB, 1981 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 521.21 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:09:52.337, 30126 MiB, 1981 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 524.78 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:10:22.349, 30126 MiB, 1981 MiB, 97 %, 29 %, 79, 2820 MHz, 3090 MHz, 525.89 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:10:52.360, 30126 MiB, 1981 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 529.52 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:11:22.371, 30126 MiB, 1981 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 521.14 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:11:52.383, 30126 MiB, 1981 MiB, 98 %, 27 %, 81, 2827 MHz, 3090 MHz, 525.67 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:12:22.395, 30126 MiB, 1981 MiB, 99 %, 29 %, 81, 2820 MHz, 3090 MHz, 467.10 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:12:52.407, 30126 MiB, 1981 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 530.56 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:13:22.421, 30125 MiB, 1982 MiB, 90 %, 29 %, 78, 2820 MHz, 3090 MHz, 528.26 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:13:52.432, 30125 MiB, 1982 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 522.62 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:14:22.443, 30125 MiB, 1982 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 523.30 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:14:52.454, 30125 MiB, 1982 MiB, 96 %, 28 %, 80, 2827 MHz, 3090 MHz, 529.99 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:15:22.465, 29980 MiB, 2127 MiB, 91 %, 31 %, 81, 2812 MHz, 3090 MHz, 556.94 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:15:52.476, 30125 MiB, 1981 MiB, 99 %, 26 %, 82, 2820 MHz, 3090 MHz, 522.27 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:16:22.487, 30125 MiB, 1981 MiB, 98 %, 24 %, 80, 2820 MHz, 3090 MHz, 520.37 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:16:52.497, 30125 MiB, 1981 MiB, 99 %, 31 %, 80, 2820 MHz, 3090 MHz, 522.49 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:17:22.511, 30125 MiB, 1981 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 524.17 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:17:52.522, 30125 MiB, 1981 MiB, 98 %, 26 %, 81, 2820 MHz, 3090 MHz, 529.00 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:18:22.534, 30123 MiB, 1984 MiB, 99 %, 30 %, 80, 2827 MHz, 3090 MHz, 528.23 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:18:52.546, 30123 MiB, 1984 MiB, 96 %, 28 %, 81, 2820 MHz, 3090 MHz, 529.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:19:22.557, 30123 MiB, 1984 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 528.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:19:52.569, 30123 MiB, 1984 MiB, 96 %, 28 %, 79, 2827 MHz, 3090 MHz, 520.03 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:20:22.580, 30123 MiB, 1984 MiB, 98 %, 24 %, 80, 2820 MHz, 3090 MHz, 524.24 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:20:52.592, 30123 MiB, 1984 MiB, 99 %, 29 %, 80, 2857 MHz, 3090 MHz, 460.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:21:22.604, 30123 MiB, 1984 MiB, 99 %, 33 %, 79, 2827 MHz, 3090 MHz, 460.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:21:52.615, 30123 MiB, 1984 MiB, 99 %, 31 %, 81, 2820 MHz, 3090 MHz, 529.53 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:22:22.626, 29978 MiB, 2129 MiB, 96 %, 29 %, 80, 2812 MHz, 3090 MHz, 558.63 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:22:52.639, 30000 MiB, 2107 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 564.22 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:23:22.651, 30124 MiB, 1983 MiB, 99 %, 30 %, 81, 2812 MHz, 3090 MHz, 445.35 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:23:52.662, 29978 MiB, 2129 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 564.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:24:22.674, 30000 MiB, 2107 MiB, 98 %, 29 %, 83, 2820 MHz, 3090 MHz, 566.77 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:24:52.685, 29999 MiB, 2108 MiB, 99 %, 31 %, 83, 2812 MHz, 3090 MHz, 487.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:25:22.697, 29999 MiB, 2108 MiB, 99 %, 31 %, 81, 2805 MHz, 3090 MHz, 569.01 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:25:52.707, 30000 MiB, 2107 MiB, 96 %, 29 %, 77, 2812 MHz, 3090 MHz, 569.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:26:22.719, 30000 MiB, 2107 MiB, 99 %, 30 %, 83, 2812 MHz, 3090 MHz, 563.94 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:26:52.730, 30123 MiB, 1984 MiB, 99 %, 29 %, 80, 2812 MHz, 3090 MHz, 521.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:27:22.741, 30123 MiB, 1984 MiB, 99 %, 29 %, 81, 2812 MHz, 3090 MHz, 521.45 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:27:52.754, 30123 MiB, 1984 MiB, 96 %, 27 %, 79, 2827 MHz, 3090 MHz, 518.44 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:28:22.765, 30123 MiB, 1984 MiB, 99 %, 28 %, 80, 2827 MHz, 3090 MHz, 526.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:28:52.777, 30123 MiB, 1984 MiB, 98 %, 24 %, 77, 2820 MHz, 3090 MHz, 523.83 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:29:22.788, 30123 MiB, 1984 MiB, 99 %, 29 %, 79, 2820 MHz, 3090 MHz, 524.40 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:29:52.800, 30123 MiB, 1984 MiB, 96 %, 28 %, 81, 2820 MHz, 3090 MHz, 531.84 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:30:22.812, 30123 MiB, 1984 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 531.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:30:52.823, 30123 MiB, 1984 MiB, 99 %, 30 %, 79, 2820 MHz, 3090 MHz, 531.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:31:22.833, 30123 MiB, 1984 MiB, 99 %, 30 %, 80, 2820 MHz, 3090 MHz, 530.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:31:52.844, 30123 MiB, 1984 MiB, 82 %, 24 %, 79, 2820 MHz, 3090 MHz, 524.05 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:32:22.856, 30123 MiB, 1984 MiB, 99 %, 30 %, 81, 2820 MHz, 3090 MHz, 535.43 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:32:52.867, 30123 MiB, 1984 MiB, 99 %, 30 %, 79, 2827 MHz, 3090 MHz, 531.21 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:33:22.878, 29978 MiB, 2129 MiB, 0 %, 0 %, 82, 2820 MHz, 3090 MHz, 488.52 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:33:52.889, 30000 MiB, 2107 MiB, 98 %, 27 %, 81, 2812 MHz, 3090 MHz, 564.08 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:34:22.901, 30000 MiB, 2107 MiB, 99 %, 32 %, 83, 2812 MHz, 3090 MHz, 564.71 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:34:52.913, 30000 MiB, 2107 MiB, 96 %, 29 %, 83, 2805 MHz, 3090 MHz, 565.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:35:22.925, 30124 MiB, 1983 MiB, 99 %, 28 %, 81, 2812 MHz, 3090 MHz, 515.72 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:35:52.937, 30124 MiB, 1983 MiB, 97 %, 20 %, 81, 2820 MHz, 3090 MHz, 511.81 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:36:22.949, 30124 MiB, 1983 MiB, 99 %, 31 %, 80, 2812 MHz, 3090 MHz, 513.74 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:36:52.961, 30124 MiB, 1983 MiB, 96 %, 31 %, 81, 2820 MHz, 3090 MHz, 523.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:37:22.972, 30124 MiB, 1983 MiB, 99 %, 30 %, 78, 2820 MHz, 3090 MHz, 531.97 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:37:52.982, 30124 MiB, 1983 MiB, 96 %, 28 %, 80, 2827 MHz, 3090 MHz, 530.57 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:38:22.995, 30124 MiB, 1983 MiB, 99 %, 33 %, 80, 2827 MHz, 3090 MHz, 529.42 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:38:53.006, 30124 MiB, 1983 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 523.32 W, P1, 0x0000000000000000, Not Active, Not Active
2026/08/12 18:39:23.018, 30124 MiB, 1983 MiB, 96 %, 28 %, 79, 2820 MHz, 3090 MHz, 530.12 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:39:53.031, 30124 MiB, 1983 MiB, 97 %, 27 %, 81, 2820 MHz, 3090 MHz, 523.97 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:40:23.043, 30124 MiB, 1983 MiB, 99 %, 29 %, 80, 2820 MHz, 3090 MHz, 532.47 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:40:53.059, 30126 MiB, 1981 MiB, 99 %, 29 %, 79, 2827 MHz, 3090 MHz, 522.20 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:41:23.072, 30127 MiB, 1980 MiB, 93 %, 29 %, 79, 2820 MHz, 3090 MHz, 530.76 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:41:53.084, 29983 MiB, 2123 MiB, 99 %, 31 %, 82, 2812 MHz, 3090 MHz, 561.79 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:42:23.097, 30003 MiB, 2104 MiB, 98 %, 30 %, 83, 2805 MHz, 3090 MHz, 496.38 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:42:53.107, 30127 MiB, 1980 MiB, 97 %, 28 %, 81, 2820 MHz, 3090 MHz, 515.54 W, P1, 0x0000000000000004, Not Active, Active
2026/08/12 18:43:23.121, 30127 MiB, 1980 MiB, 98 %, 27 %, 79, 2820 MHz, 3090 MHz, 514.42 W, P1, 0x0000000000000004, Not Active, Active
